地区,人口数,男,女,0—14岁,15-59岁,60岁以上,65岁以上
全国（除港澳台）,1411778724,51.24,48.76,17.95,63.35,18.7,13.5
广东,126012510,53.07,46.93,18.85,68.8,12.35,8.58
山东,101527453,50.66,49.34,18.78,60.32,20.9,15.13
河南,99365519,50.15,49.85,23.14,58.79,18.08,13.49
江苏,84748016,50.78,49.22,15.21,62.95,21.84,16.2
四川,83674866,50.54,49.46,16.1,62.19,21.71,16.93
河北,74610235,50.5,49.5,20.22,59.92,19.85,13.92
湖南,66444864,51.16,48.84,19.52,60.6,19.88,14.81
浙江,64567588,52.16,47.84,13.45,67.86,18.7,13.27
安徽,61027171,50.97,49.03,19.24,61.96,18.79,15.01
湖北,57752557,51.42,48.58,16.31,63.26,20.42,14.59
广西,50126804,51.7,48.3,23.63,59.69,16.69,12.2
云南,47209277,51.73,48.27,19.57,65.52,14.91,10.75
江西,45188635,51.6,48.4,21.96,61.17,16.87,11.89
辽宁,42591407,49.92,50.08,11.12,63.16,25.72,17.42
福建,41540086,51.68,48.32,19.32,64.7,15.98,11.1
陕西,39528999,51.17,48.83,17.33,63.46,19.2,13.32
贵州,38562148,51.1,48.9,23.97,60.65,15.38,11.56
山西,34915616,50.99,49.01,16.35,64.72,18.92,12.9
重庆,32054159,50.55,49.45,15.91,62.22,21.87,17.08
黑龙江,31850088,50.09,49.91,10.32,66.46,23.22,15.61
新疆,25852345,51.66,48.34,22.46,66.26,11.28,7.76
甘肃,25019831,50.76,49.24,19.4,63.57,17.03,12.58
上海,24870895,51.77,48.23,9.8,66.82,23.38,16.28
吉林,24073453,49.92,50.08,11.71,65.23,23.06,15.61
内蒙古,24049155,51.04,48.96,14.04,66.17,19.78,13.05
北京,21893095,51.14,48.86,11.84,68.53,19.63,13.3
天津,13866009,51.53,48.47,13.47,64.87,21.66,14.75
海南,10081232,53.02,46.98,19.97,65.38,14.65,10.43
宁夏,7202654,50.94,49.06,20.38,66.09,13.52,9.62
青海,5923957,51.21,48.79,20.81,67.04,12.14,8.68
西藏,3648100,52.45,47.55,24.53,66.95,8.52,5.67
