年份,人口,成长率
1952,576 277 413,2.50 %
1953,588 015 529,2.04 %
1954,598 248 906,1.74 %
1955,607 684 698,1.58 %
1956,616 827 315,1.50 %
1957,626 058 719,1.50 %
1958,635 526 239,1.51 %
1959,645 295 009,1.54 %
1960,655 338 249,1.56 %
1961,665 723 712,1.58 %
1962,676 573 499,1.63 %
1963,688 271 156,1.73 %
1964,701 334 864,1.90 %
1965,716 302 393,2.13 %
1966,733 391 706,2.39 %
1967,752 580 907,2.62 %
1968,773 386 671,2.76 %
1969,795 120 374,2.81 %
1970,816 882 494,2.74 %
1971,838 267 499,2.62 %
1972,859 179 465,2.49 %
1973,879 567 854,2.37 %
1974,899 052 782,2.22 %
1975,917 425 602,2.04 %
1976,934 508 081,1.86 %
1977,950 350 831,1.70 %
1978,965 107 181,1.55 %
1979,979 226 061,1.46 %
1980,993 148 855,1.42 %
1981,1 007 112 978,1.41 %
1982,1 021 042 833,1.38 %
1983,1 035 249 712,1.39 %
1984,1 050 344 694,1.46 %
1985,1 066 952 246,1.58 %
1986,1 085 381 562,1.73 %
1987,1 105 641 426,1.87 %
1988,1 126 968 949,1.93 %
1989,1 148 125 607,1.88 %
1990,1 167 696 672,1.70 %
1991,1 184 956 288,1.48 %
1992,1 199 842 003,1.26 %
1993,1 212 813 901,1.08 %
1994,1 224 464 582,0.96 %
1995,1 235 515 079,0.90 %
1996,1 246 307 636,0.87 %
1997,1 256 858 672,0.85 %
1998,1 267 030 223,0.81 %
1999,1 276 787 766,0.77 %
2000,1 286 057 488,0.73 %
2001,1 294 875 513,0.69 %
2002,1 303 274 793,0.65 %
2003,1 311 360 565,0.62 %
2004,1 319 215 340,0.60 %
2005,1 326 962 119,0.59 %
2006,1 334 623 877,0.58 %
2007,1 342 232 440,0.57 %
2008,1 349 802 384,0.56 %
2009,1 357 400 678,0.56 %
2010,1 365 021 409,0.56 %
2011,1 372 685 709,0.56 %
2012,1 380 373 083,0.56 %
2013,1 388 076 421,0.56 %
2014,1 395 699 763,0.55 %
2015,1 403 181 303,0.54 %
2016,1 410 468 287,0.52 %
2017,1 417 564 227,0.50 %
2018,1 424 362 022,0.48 %
2019,1 430 740 957,0.45 %
2020,1 436 568 870,0.41 %
2021,1 443 981 565,0.52 %
2022,1 451 432 510,0.52 %
2023,1 458 921 902,0.52 %
2024,1 466 449 939,0.52 %
2025,1 474 016 821,0.52 %
